ime,category
hundredth,one-hundredth
haemolysin,hemolysin
"western yellow pine",ponderosa
"Haber-Bosch process","Haber process"
"Bacillus globigii","Bacillus subtilis"
painkiller,analgesic
recreant,poltroon
recreant,deserter
"threshing machine",thresher
pablum,pap
"Daucus carota sativa",carrot
"giant fulmar","giant petrel"
"Echidnophaga gallinacea",sticktight
"fry bread","skillet bread"
"quail brush","quail bush"
thinness,leanness
thinness,fineness
thinness,sparseness
"mining bee",andrena
"IQ test","intelligence test"
murmuring,mutter
murmuring,grumble
"Antheropeas wallacei","woolly daisy"
hediondilla,"creosote bush"
"underground press",samizdat
shaping,formation
"strep throat","streptococcal sore throat"
"zoonotic disease",zoonosis
pussy-paws,pussy-paw
haemolysis,hemolysis
"breathing machine","breathing device"
megalocardia,cardiomegaly
"Pieris japonica",andromeda
"forgetful person",scatterbrain
stoppage,arrest
stoppage,blockage
stoppage,stop
"Sardinops caerulea","Pacific sardine"
"mirror-image relation",enantiomorphism
"inspection and repair",overhaul
"exhaust fumes",exhaust
good-for-naught,goldbrick
permanent,"permanent wave"
"curly endive",chicory
"traveller's check","traveler's check"
"Virginia serpentary","Virginia snakeroot"
eccentric,character
"Zingiber officinale","common ginger"
"Eupatorium perfoliatum",boneset
"dollar bill",dollar
urging,goad
urging,importunity
tetrabromo-phenolsulfonephthalein,"bromophenol blue"
"cry-baby tree",ceibo
"Ratibida columnifera","long-head coneflower"
"cereal grass",cereal
"spotted cranesbill","wild geranium"
tizzy,dither
"atlas vertebra",atlas
"big leaguer","major leaguer"
"seaside scrub oak","myrtle oak"
"percussive instrument","percussion instrument"
"Torreya californica","California nutmeg"
"agent bank","lead bank"
"professional golfer","golf pro"
conflict,battle
conflict,dispute
"Libocedrus bidwillii",pahautea
"breaking ball",curve
"functional calculus","predicate calculus"
"packing box","stuffing box"
"gum benjamin",benzoin
shaytan,shaitan
pneumogastric,vagus
"American lime","American basswood"
"Wankel rotary engine","Wankel engine"
windfall,boom
"proboscis flower","common unicorn plant"
altercation,affray
sepiolite,meerschaum
"tummy tuck",abdominoplasty
"Veronica arvensis","corn speedwell"
concupiscence,"sexual desire"
bowlder,boulder
"West Indian cherry","barbados cherry"
"West Indian cherry",acerola
mussitation,mutter
weight,"system of weights"
weight,"weight unit"
"brown-tail moth",browntail
"Prunus pumila","sand cherry"
"billet doux","love letter"
mezcal,mescal
living-room,"living room"
"opera glasses",binoculars
globe,ball
gloam,twilight
couplet,couple
heartache,grief
coupler,coupling
vortex,whirl
vortex,whirlpool
"Dirca palustris",leatherwood
"picture gallery",gallery
"hot pad","table mat"
"hot pad","heating pad"
"party pooper",spoilsport
"electron paramagnetic resonance","electron spin resonance"
"Elymus hispidus","intermediate wheatgrass"
allegoriser,allegorizer
"pignut hickory",pignut
"command key","control key"
driblet,drop
"naut mi","nautical mile"
abruption,"breaking off"
prostate,"prostate gland"
lavabo,washbasin
"E. coli","Escherichia coli"
airstream,slipstream
"freshwater limpet","river limpet"
"diseased person","sick person"
"particle board",fiberboard
diluent,dilutant
"Sciurus hudsonicus","American red squirrel"
fragmentation,atomization
"Barbary pirate",corsair
"muscle building",bodybuilding
"waste pipe",drain
tinder,kindling
"warning device",alarm
"arteria labialis superior","superior labial artery"
spillikin,jackstraw
"Charadrius morinellus",dotterel
subnormality,retardation
"escape cock","safety valve"
"staff office","personnel department"
limitlessness,infiniteness
"sum of money",sum
patrisib,agnate
cottontail,"wood rabbit"
surrogate,deputy
swellhead,egotist
"school paper","school newspaper"
restauranter,restaurateur
bellhop,bellboy
epoch,era
"rock outcrop",outcrop
"Solanum dulcamara",bittersweet
"newspaper publisher",publisher
"newspaper publisher",newspaper
doorkeeper,usher
"Asperula tinctoria","dyer's woodruff"
"order of Saint Benedict","Benedictine order"
"Pinus quadrifolia","Parry's pinyon"
"Clinopodium vulgare","wild basil"
"Mirabilis uniflora","common four-o'clock"
"vapour bath","steam bath"
"vapour bath","Turkish bath"
spininess,prickliness
regard,respect
regard,attentiveness
regard,gaze
regard,esteem
"last minute","eleventh hour"
"articulatio spheroidea","ball-and-socket joint"
"biserial correlation","biserial correlation coefficient"
"mercantile system",mercantilism
bakeshop,bakery
"hatchet job",defamation
"delicatessen food",delicatessen
"Paliurus spina-christi",Christ's-thorn
"bank clerk",teller
"ringside seat",ringside
"fluid dram",fluidram
"demand loan","call loan"
flaskful,flask
myocardiopathy,cardiomyopathy
"crepe paper",crepe
"large-toothed aspen","Canadian aspen"
spectator,"spectator pump"
cowcatcher,fender
"Diplotaxis tenuifolia","wall rocket"
orchis,testis
revolver,"revolving door"
orchil,archil
"beau ideal",paragon
"SA node",pacemaker
antediluvian,ancient
"Cheilanthes gracillima","lace fern"
"Sphaeralcea remota","wild hollyhock"
"Senecio cruentus",cineraria
moorbird,"red grouse"
cnidarian,coelenterate
mendicancy,beggary
"goldilocks aster",goldilocks
"unleavened bread",matzo
"bilge water",bilge
splinters,matchwood
hidrosis,perspiration
jackknife,"clasp knife"
"religious belief",religion
"judicial proceeding",litigation
whiteness,white
whiteness,purity
"atrioventricular block","heart block"
headache,concern
I.E.D.,"improvised explosive device"
"potter's earth","potter's clay"
"factor of safety","safety factor"
"dead hand of the past","dead hand"
"red squirrel","American red squirrel"
"orchard apple tree",apple
foolery,folly
carnauba,"carnauba wax"
"kick start","kick starter"
verification,confirmation
crossword,"crossword puzzle"
"Wisteria venusta","silky wisteria"
debasement,adulteration
debasement,degradation
unsavoriness,disgustingness
"tank farming",hydroponics
"arctic moss","reindeer moss"
nasal,"nasal consonant"
commotion,disturbance
commotion,whirl
chaddar,chador
illustriousness,greatness
immobilisation,immobilization
"Venn's diagram","Venn diagram"
"Ramses II","Rameses II"
laughter,laugh
whoremonger,whoremaster
"canary creeper","canarybird flower"
"epithelial duct",duct
pearl-fish,pearlfish
hotcake,pancake
"air sickness",airsickness
hyperlipidaemia,lipemia
internationalisation,internationalization
"Irvingia gabonensis","wild mango"
"Louis the Bruiser","Louis VI"
"birth control device",contraceptive
gravitas,dignity
"sudoriferous gland","sweat gland"
bronc,bronco
shadberry,saskatoon
broom,heather
testiere,chanfron
businesspeople,"business people"
slander,aspersion
self-distrust,diffidence
"tv set","television receiver"
intoxication,poisoning
intoxication,drunkenness
"eastern flowering dogwood","common white dogwood"
"dirt ball",worm
"common moonwort",moonwort
boondocks,backwoods
berceuse,lullaby
favor,"party favor"
swerving,swerve
"wild flower",wildflower
artifice,ruse
"service abroad",sea-duty
incontrovertibleness,incontrovertibility
"Nicotiana rustica","wild tobacco"
sensitive,medium
scrapper,combatant
"musical harmony",harmony
"Tartarian honeysuckle","bush honeysuckle"
somatotype,"body type"
"Conium maculatum",hemlock
spoilage,spoil
"airline business",airline
leatherback,"leatherback turtle"
"rip current",riptide
"Brussels biscuit",zwieback
transmittal,transmission
congee,conge
also-ran,loser
chrisom,chrism
cloister,"religious residence"
"blue devil",blueweed
"Araucaria columnaris","new caledonian pine"
"Crataegus crus-galli","cockspur thorn"
get-up-and-go,energy
croupe,hindquarters
"Georgia bark","fever tree"
"Senecio glabellus",butterweed
skipjack,"click beetle"
adoration,worship
"silver storm","ice storm"
parson,curate
gonadotrophin,gonadotropin
"bechamel sauce","white sauce"
harlequin-snake,"coral snake"
"French ultramarine","French blue"
"spinal tap","lumbar puncture"
brushing,brush
transmitter,sender
transmitter,vector
"elapid snake",elapid
rainfly,tent-fly
"poor man's weatherglass","scarlet pimpernel"
proportionality,proportion
"heptadecanoic acid","margaric acid"
"sound reflection",echo
"wind gauge",anemometer
sagamore,sachem
"Egretta albus","American egret"
"matrix printer","dot matrix printer"
dustpanful,dustpan
"Saussurea costus",costusroot
carcajou,wolverine
worshiper,believer
"underwater diver",diver
"kino gum",kino
"kino gum","East India kino"
internationalism,internationality
"nominating address","nominating speech"
"home from home","home away from home"
hanging,suspension
rider,passenger
tiepin,"tie tack"
"image orthicon",orthicon
"Japanese medlar",loquat
buccaneer,pirate
covering,cover
covering,application
bailiwick,discipline
pipistrel,pipistrelle
"middle-ear deafness","conductive hearing loss"
refereeing,umpirage
"faecal occult test","fecal occult test"
"kiss of life","cardiopulmonary resuscitation"
"opera hat","dress hat"
crotal,crottle
clerisy,intelligentsia
"Trigonella ornithopodioides","bird's foot trefoil"
"sponge bag","toilet bag"
"Senna occidentalis","coffee senna"
"edible corn",corn
"jews' harp","jew's harp"
raciness,pungency
raciness,gaminess
"Saxifraga hypnoides","mossy saxifrage"
"ebony tree",ebony
shlep,schlepper
shlep,schlep
"papaw tree",pawpaw
crotch,fork
crotch,genitalia
pecker,cock
pecker,woodpecker
pecker,beak
"Fraxinus dipetala","flowering ash"
bloodline,lineage
bloodline,pedigree
"voice communication",speech
"malicious mischief",vandalism
zombi,automaton
zombi,zombie
"sexual love",love
"vice-presidential term",vice-presidency
"weather condition",weather
"Vicia sativa","spring vetch"
"acute myeloid leukemia","acute myelocytic leukemia"
"wear and tear",depreciation
"Leucaena glauca","lead tree"
hypermenorrhea,menorrhagia
sea-poose,undertow
"New Zealand honeysuckle",rewa-rewa
"Le Chatelier's law","Le Chatelier's principle"
trebuchet,catapult
monarch,sovereign
"malt liquor",malt
"arteria metatarsea","metatarsal artery"
leukotomy,lobotomy
annualry,"ring finger"
variola,smallpox
"seventh cranial nerve",facial
"nurse's aide","nursing aide"
"Schinus molle","pepper tree"
"railway man",trainman
educatee,student
"ballroom music","dance music"
pasteurellosis,"hemorrhagic septicemia"
rectoplasty,proctoplasty
"dichloroethyl sulfide","mustard gas"
tussur,tussah
"Serratula tinctoria",sawwort
optimisation,optimization
lonesomeness,aloneness
"centigrade scale","Celsius scale"
"military operation",operation
cross-index,cross-reference
"autophytic plant",autophyte
pentangle,pentacle
nardo,nardoo
"long plane",jointer
"Erysimum cheiranthoides","wormseed mustard"
buggery,sodomy
chalcanthite,"blue vitriol"
"Asiatic cockroach","oriental cockroach"
enation,matrilineage
enation,"plant process"
brouhaha,hubbub
orphanhood,orphanage
wastefulness,thriftlessness
wastefulness,waste
eyebath,eyecup
"interrogation point","question mark"
"modal verb","modal auxiliary verb"
unpropitiousness,inauspiciousness
"factor X",prothrombinase
"factor V",proaccelerin
"Tringa nebularia",greenshank
"Hurler's disease","Hurler's syndrome"
"factor I",fibrinogen
Christ's-thorn,jujube
"mountain spinach","garden orache"
esteem,admiration
esteem,respect
"closing off",isolation
"Eleocharis acicularis","needle spike rush"
"false rue","false rue anemone"
"Juniperus sabina","dwarf juniper"
"geological dating",dating
fauna,animal
confab,chat
loony,crazy
tussle,hassle
"graylag goose",greylag
"Lysimachia nemorum","yellow pimpernel"
escapade,adventure
mimicker,mimic
shilling,"Ugandan shilling"
shilling,"Tanzanian shilling"
shilling,"Somalian shilling"
shilling,"Kenyan shilling"
shilling,"British shilling"
progressivity,progressiveness
fault,mistake
fault,defect
fault,demerit
"pair formation","pair production"
mocassin,moccasin
"point of departure","jumping-off place"
"point of departure",springboard
precentor,choirmaster
"payroll check",paycheck
"vanishing cream","cold cream"
maimer,mutilator
ophthalmitis,ophthalmia
sarsenet,sarcenet
"decanoic acid","capric acid"
"magnetic disc","magnetic disk"
entresol,mezzanine
maimed,wounded
blacking,"shoe polish"
"forest god",satyr
tusser,tussah
"disseminated multiple sclerosis","multiple sclerosis"
tusseh,tussah
"floor show",cabaret
seawall,breakwater
comrade,companion
comrade,brother
lancet,"lancet arch"
"Panax pseudoginseng",ginseng
carnage,slaughter
compression,compaction
artillery,weapon
putting,putt
lease-lend,lend-lease
"benthic division",benthos
compressing,compression
duckbill,paddlefish
duckbill,platypus
"Glauber's salts","Glauber's salt"
manoeuvrability,maneuverability
"Austrian schilling",schilling
"manner of walking",walk
"prickly pear cactus","prickly pear"
zygomatic,cheekbone
"bell heather","cross-leaved heath"
funeral-residence,"funeral home"
"idiomatic expression",idiom
nuisance,pain
"four-centered arch","Tudor arch"
"dusty miller","mullein pink"
"sand badger","hog badger"
dealership,franchise
"schola cantorum","choir school"
"composite school","comprehensive school"
redwing,"red-winged blackbird"
turbidness,turbidity
"gun barrel",barrel
"woodwind instrument",woodwind
"wholesale house","discount house"
unreason,irrationality
prodigy,omen
"first law of thermodynamics","conservation of energy"
"temple orange tree","temple orange"
"sweet almond",almond
"tape recording",tape
"intercellular substance",matrix
"devil's apples",mandrake
blackleg,scab
"ice pick",icepick
billy,truncheon
underclass,"lower class"
"Atriplex mexicana","Jerusalem oak"
titillation,tickle
"articulatio humeri",shoulder
matchup,match-up
"law of nations","international law"
project,undertaking
"Eleocharis palustris","creeping spike rush"
"string of beads",beads
"sulfuric acid",vitriol
systematiser,orderer
"Falcatifolium falciforme","common sickle pine"
"ruptured intervertebral disc","herniated disc"
"thymic acid",thymol
tread-wheel,treadmill
emptiness,void
emptiness,vanity
mastodont,mastodon
"buzz saw","circular saw"
"whistling buoy","whistle buoy"
"Python variegatus","carpet snake"
"Nothofagus truncata","hard beech"
chit-chat,chitchat
"Tympanuchus cupido cupido","heath hen"
"Equisetum variegatum","variegated horsetail"
potful,pot
"problem-oriented language","application-oriented language"
"translucent substance","transparent substance"
promotion,forwarding
"Viola cornuta","horned violet"
"Corallorhiza striata","striped coral root"
"foot pedal",pedal
variance,discrepancy
variance,division
variance,variability
variance,variation
"Mexican fire plant",fire-on-the-mountain
"California romero","black sage"
rifling,grooving
bellman,bellboy
vigour,energy
vigour,vigor
bird-scarer,scarecrow
"Afropavo congensis",afropavo
oestrus,estrus
coldcream,"cold cream"
escutcheon,"finger plate"
"giant fern",angiopteris
testicle,testis
grotesquery,grotesqueness
"swamp poplar","swamp cottonwood"
"kiwi fruit",kiwi
"saddle feather","saddle hackle"
branchiopod,"branchiopod crustacean"
"Adam's apple","crape jasmine"
"Adam's apple","thyroid cartilage"
shlepper,schlepper
"Manilkara bidentata",balata
"phrasal idiom",idiom
"box seat",box
bilby,"rabbit-eared bandicoot"
sparling,"European smelt"
"emergency exit","fire escape"
misdeed,misbehavior
pride-of-India,chinaberry
pride-of-India,"Queen's crape myrtle"
tierce,terce
tierce,one-third
mopping,swabbing
operoseness,laboriousness
"channel bass","red drum"
"Amaranthus albus",tumbleweed
"Ceratonia siliqua",carob
congener,relative
elaterid,"elaterid beetle"
denizen,inhabitant
oxyhaemoglobin,oxyhemoglobin
whistler,"hoary marmot"
whistler,goldeneye
whistler,thickhead
reconnoitring,scouting
"inter vivos trust","living trust"
"synovial fluid",synovia
"sea rover",pirate
"Myristica fragrans",nutmeg
"Greek fret",fret
"bond certificate",bond
"Quercus bicolor","swamp white oak"
matcher,matchmaker
"Pogonia rosea","rosebud orchid"
matchet,machete
intermediary,mediator
ridgel,ridgeling
earthing,grounding
"scout troop",troop
ascension,rise
"date of reference",epoch
thirty-second,one-thirty-second
"family unit",family
wannabee,aspirant
lolly,boodle
lolly,"ice lolly"
"pulmonic plague","pneumonic plague"
"Australian chestnut","Moreton Bay chestnut"
coinage,neologism
"Hemipteronatus novacula","pearly razorfish"
"rock lobster","spiny lobster"
"beach aster","seaside daisy"
condescendingness,condescension
withdrawnness,aloofness
ballast,"ballast resistor"
gossipmonger,gossip
ridgil,ridgeling
"faculty member",academician
"Remilegia australis","whale sucker"
flagellum,scourge
"Baphia nitida",camwood
"tympanic membrane",eardrum
brashness,flashiness
"shire town","county town"
animus,animosity
"dust wrapper","book jacket"
"Elaeagnus latifolia","wild olive"
"candy apple","candied apple"
daubing,plastering
fretsaw,jigsaw
"stunt man",double
"pistol shrimp","snapping shrimp"
"deputy sheriff",deputy
homemaker,housewife
"Carolina pond fern","mosquito fern"
"plate tectonics",tectonics
riposte,rejoinder
"eye mask",domino
"Denisonia superba",copperhead
tastiness,pleasingness
cookhouse,galley
lavalliere,lavaliere
"Prince-of-Wales feather","crape fern"
"unpaid worker",volunteer
"Asclepias purpurascens","purple silkweed"
"navy blue","dark blue"
"home key","tonic key"
"ten-day fern","leather fern"
"Balaenoptera borealis","sei whale"
"advertising division","advertising department"
"slum area",slum
"marsh rosemary","sea lavender"
"siren song","siren call"
"Helianthemum scoparium","rush rose"
tickseed,coreopsis
"plaintiff in error",appellant
trivia,triviality
light-year,"light year"
"familiar spirit",familiar
"C major scale","C major"
"descensus uteri",metroptosis
"sinking feeling",sinking
"map maker",cartographer
"medicine cabinet","medicine chest"
crow-bait,crowbait
"Hippobosca equina","horse tick"
fatty,fatso
"watermelon vine",watermelon
"burr oak","bur oak"
organ,"electric organ"
organ,harmonium
storage,storehouse
storage,memory
storage,repositing
hyperglycaemia,hyperglycemia
"vacuum gage","vacuum gauge"
screenland,filmdom
"sales division","sales department"
endorser,subscriber
cathartic,purgative
liturgiology,liturgics
strobile,cone
cathartid,"New World vulture"
"American liquorice","wild licorice"
"asa dulcis",benzoin
"Physeter catodon","sperm whale"
mantrap,smasher
"res adjudicata","res judicata"
megalosaurus,megalosaur
"narrow boat","canal boat"
thimbleberry,"flowering raspberry"
thimbleberry,salmonberry
thimbleberry,"black raspberry"
"Araujia sericofera","cruel plant"
"sexual abstention",chastity
detachment,withdrawal
detachment,insulation
detachment,separation
"flat solid",sheet
"love life","sexual love"
"Trifolium dubium","hop clover"
"Alectoris ruffa","red-legged partridge"
"Parascalops breweri","brewer's mole"
tenting,camping
micromillimeter,nanometer
homopteran,"homopterous insect"
fiddlehead,"ostrich fern"
fiddlehead,"cinnamon fern"
"Chilean strawberry","beach strawberry"
"personal effects",effects
declension,deterioration
declension,descent
potable,beverage
"knee breeches",breeches
"folk ballad","folk song"
requirement,necessity
requirement,prerequisite
"Liriope muscari",lilyturf
"cattle farm",ranch
"earth-nut pea","heath pea"
blennioid,"blennioid fish"
thorniness,prickliness
thorniness,bitterness
touchscreen,"touch screen"
"Pagophilus groenlandicus","harp seal"
"Harpia harpyja",harpy
"eastern chinquapin","Allegheny chinkapin"
"rye whiskey",rye
kurakkan,"finger millet"
"swallow dive","swan dive"
"analysis situs",topology
"navel point",navel
"ivy arum","golden pothos"
"love line","line of heart"
"Christmas carol",carol
vaginocele,colpocele
"soursop tree",soursop
"leaded petrol","leaded gasoline"
"Thamnophis sirtalis","common garter snake"
"sal soda","sodium carbonate"
"white paper","white book"
"field general",quarterback
"Clianthus formosus","desert pea"
"hair ball",hairball
"Thrinax keyensis","key palm"
"cartoon strip","comic strip"
"thermic fever",sunstroke
"lady's earrings",jewelweed
skunkbush,squawbush
"intercom speaker","squawk box"
paperback,"paperback book"
dyer's-broom,woodwaxen
"Holcus mollis","creeping soft grass"
diacetylmorphine,heroin
toitoi,toetoe
"Eretmochelys imbricata","hawksbill turtle"
intermezzo,interlude
incalescence,calefaction
irregularity,abnormality
irregularity,constipation
"tuition fee",tuition
"tall crowfoot","meadow buttercup"
"yellow cleavers","yellow bedstraw"
rondel,rondeau
"animated cartoon",cartoon
clopping,clip-clop
megacardia,cardiomegaly
timorousness,timidity
"woman's hat",millinery
interbrain,diencephalon
micromillimetre,nanometer
hypsography,hypsometry
"Chinese parasol","Chinese parasol tree"
"transshipment center",entrepot
"Amorphophallus rivieri","devil's tongue"
"writ of mandamus",mandamus
"focal epilepsy","cortical epilepsy"
"Prionotus carolinus","northern sea robin"
dissipation,profligacy
dissipation,waste
solidness,solid
solidness,solidity
solidness,substantiality
comptroller,accountant
whirring,whir
"Antennaria dioica","cat's foot"
"Chinese scholar tree","Japanese pagoda tree"
"danse du ventre","belly dance"
"water wheel",waterwheel
reflectivity,"coefficient of reflection"
reflectivity,reflection
reflectivity,reflectiveness
sapraemia,sapremia
"caustic lime","calcium hydroxide"
palpebra,eyelid
efficaciousness,efficacy
"photogelatin process",collotype
"monilia disease",candidiasis
"Graptophyllum pictum","caricature plant"
"home territory","home range"
"swamp lily",lizard's-tail
"Asplenium nigripes","Schaffneria nigripes"
wiener,frank
nappy,diaper
"aviation medicine",aeromedicine
hitter,batter
"blue channel cat","blue catfish"
"recall dose",booster
"vena hepatica","hepatic vein"
leveling,grading
leveling,razing
leveling,equalization
remunerator,payer
"bladder ketmia",flower-of-an-hour
unregularity,irregularity
decimetre,decimeter
bitterweed,oxtongue
bitterweed,ragweed
fire-swallower,fire-eater
signing,"sign language"
"dodecanoic acid","lauric acid"
"agricultural labourer","agricultural laborer"
propanone,acetone
consideration,circumstance
consideration,retainer
"naive realism",realism
signior,signor
grummet,cringle
"mus rose","musk mallow"
"wild crocus","American pasqueflower"
oldwench,"queen triggerfish"
vapidness,jejunity
monument,memorial
monument,repository
"Tamarindus indica",tamarind
"Ruptiliocarpon caracolito",caracolito
"Podocarpus ferruginea",miro
"Prunus susquehanae","sand cherry"
dilater,dilator
carefulness,caution
"pecking order",hierarchy
"sorb apple","service tree"
"sorb apple",sorb
civilisation,civilization
civilisation,culture
civilisation,refinement
turnaround,reversal
turnaround,reversion
zamang,"rain tree"
"Branta bernicla","common brant goose"
"os longum","long bone"
judgment,opinion
judgment,sagacity
"medial rectus","medial rectus muscle"
"XOR gate","X-OR circuit"
"cyclothymic disorder",cyclothymia
maturation,growth
maturation,festering
benzylpenicillin,"penicillin G"
"prairie sagewort","wormwood sage"
"Urocystis tritici","wheat flag smut"
conker,buckeye
surgery,"operating room"
surgery,operation
chlamyphore,pichiciago
sacristy,vestry
"sledge dog","sled dog"
trebucket,catapult
"cuneiform bone",triquetral
farce,forcemeat
"tribromoethyl alcohol",tribromoethanol
tintinnabulation,ring
ultrasound,sonography
extinguishing,extinction
"fenestra vestibuli","fenestra ovalis"
snobbishness,snobbery
"fringed orchid","fringed orchis"
indication,reading
tyrocidin,tyrocidine
"bringing close together",approximation
inflexibleness,inflexibility
pretending,pretense
overeating,gluttony
"Erythronium dens-canis","European dogtooth"
"Cirsium arvense","Canada thistle"
pedesis,"Brownian movement"
woodsiness,woodiness
"sapele mahogany","African scented mahogany"
report,"report card"
report,composition
report,reputation
"Ulmus thomasii","rock elm"
"check overdraft credit","overdraft credit"
"wedding band","wedding ring"
"deltoid muscle",deltoid
potomania,dipsomania
sermoniser,preacher
"Bairdiella chrysoura","silver perch"
onager,catapult
lyophilization,freeze-drying
astheny,asthenia
self-seeker,opportunist
"dwarf daisy","woolly daisy"
"bead fern","sensitive fern"
repose,rest
repose,peace
"Erithacus svecicus",bluethroat
fourth,one-fourth
"common mood","indicative mood"
"wind park","wind farm"
"Parula americana","parula warbler"
"volume-detonation bomb","thermobaric bomb"
"Terrapene ornata","Western box turtle"
loofah,loofa
perquisite,"fringe benefit"
perquisite,prerogative
"variola major virus","variola major"
"Ageratum houstonianum","common ageratum"
"Leonotis nepetaefolia",lion's-ear
man-child,"male offspring"
ulama,ulema
burnside,sideburn
primer,fuse
primer,"flat coat"
"dire straits","desperate straits"
searobin,"sea robin"
"flat tire",flat
scarfpin,"tie tack"
"honours list","class list"
bottlenose,"bottlenose dolphin"
bottlenose,"bottle-nosed whale"
notability,luminary
acetonuria,ketonuria
"sleeping capsule","sleeping pill"
duplex,"duplex house"
duplex,"duplex apartment"
proponent,advocate
"power hammer",hammer
"Cape kafferboom","kaffir boom"
systematizer,orderer
clayware,pottery
"acoustic reactance","acoustic resistance"
"northern harrier","marsh hawk"
entrepot,storehouse
"Po Hai","Bo Hai"
"snow trillium","dwarf-white trillium"
loser,failure
misplacement,malposition
"stroke play","medal play"
"filename extension",extension
erudition,eruditeness
mist-flower,mistflower
"house of worship","place of worship"
"immune serum globulin",immunoglobulin
"Equador laurel","Spanish elm"
"perissodactyl mammal","odd-toed ungulate"
"Meibomian cyst",chalazion
"Sturm und Drang",turbulence
"Persea borbonia",laurel-tree
"masquerade ball","masked ball"
"Oxyuranus scutellatus",taipan
translation,transformation
"viola clef","alto clef"
"suit of armour","body armor"
subversiveness,treason
"Camellia sinensis",tea
unemployed,"unemployed people"
"Glyceria grandis","reed meadow grass"
"musical theater",musical
"show biz","entertainment industry"
parole,password
"slopseller's shop",slopshop
"Galega officinalis","goat's rue"
indicative,"indicative mood"
"infrared radiation",infrared
maisonnette,maisonette
pergola,arbor
mantlet,mantelet
"awning deck","hurricane deck"
squelcher,put-down
squelcher,"squelch circuit"
"Zygocactus truncatus","crab cactus"
"Indian file",file
administration,presidency
administration,government
senior,elder
"transforming gene",oncogene
"white cockle","white campion"
"news reader",newsreader
magician,sorcerer
reversal,reverse
reversal,reversion
reversal,transposition
reversal,about-face
replacing,replacement
glute,gluteus
tsine,banteng
"gymnastic horse",horse
"Indian capital","New Delhi"
haemorrhoid,hemorrhoid
"Cnemidophorus velox","plateau striped whiptail"
dibranch,dibranchiate
celebrator,celebrant
carving,sculpture
"seed plant",spermatophyte
"pressure sensation",pressure
wantonness,abandon
wantonness,licentiousness
straightness,directness
straightness,"good faith"
straightness,heterosexuality
"Podocarpus elatus","brown pine"
"gyrus cinguli","cingulate gyrus"
"antiophthalmic factor","vitamin A"
"Lepomis macrochirus",bluegill
forgiver,pardoner
"vena scapularis dorsalis","dorsal scapular vein"
weightlifting,weightlift
"spinal accessory","accessory nerve"
"Panonychus ulmi","red spider"
elixir,"philosopher's stone"
"Lumpenus lumpretaeformis",snakeblenny
offstage,wing
reflection,contemplation
reflection,expression
reflection,"mirror image"
reflection,observation
"tenement house",tenement
"Prumnopitys taxifolia",matai
"submarine sandwich",bomber
"rutabaga plant",rutabaga
"bath soap","toilet soap"
"wild meadow lily","Canada lily"
acculturation,socialization
"binge-eating syndrome",bulimia
"logical thinking",reasoning
"snorkel breather",snorkel
"secondhand car",used-car
"masking paper","masking tape"
"ethyl ether",ether
occurrence,happening
"giant squid",architeuthis
"Ficus carica",fig
"Pieris rapae",cabbageworm
"Pieris rapae","small white"
"Vespertilio murinus","frosted bat"
"Templetonia retusa","coral bush"
"iron oak","post oak"
"iron oak","canyon oak"
candleberry,bayberry
"New Style calendar","Gregorian calendar"
"Numenius borealis","Eskimo curlew"
"tenor voice",tenor
marbleizing,marbleization
"Dactylorhiza maculata fuchsii","common spotted orchid"
"Chrysanthemum maximum","oxeye daisy"
"Aptenodytes forsteri","emperor penguin"
backstage,wing
"magnoliopsid family","dicot family"
bulblet,bulbil
"sex hormone","steroid hormone"
"Iris foetidissima","stinking iris"
"Leucothoe fontanesiana","dog laurel"
hitman,gunman
"sliding keel",centerboard
stockhorn,hornpipe
actinozoan,anthozoan
lividity,lividness
paspalum,dallisgrass
procreation,reproduction
tetraiodothyronine,thyroxine
"permanganate of potash","potassium permanganate"
"Ligustrum vulgare","common privet"
"tractor trailer","trailer truck"
"dark glasses",sunglasses
playground,"resort area"
hymnody,psalmody
"book of maps",atlas
girdle,corset
"closed fracture","simple fracture"
onyxis,"ingrown toenail"
kalantas,"Philippine mahogany"
"nucleus niger","substantia nigra"
cattie,catty
"brittle fern","brittle bladder fern"
"trash heap","garbage heap"
"packing nut","stuffing nut"
lipoidaemia,lipemia
"wage hike",raise
glycerole,glycerite
"corpus geniculatum laterale","lateral geniculate body"
"moss pink","ground pink"
navvy,drudge
"broad-leaved bottletree","flame tree"
bounty,amplitude
"Podiceps nigricollis","black-necked grebe"
washup,dishwashing
kitty,pool
kitty,pot
kitty,kitten
"branched chain ketoaciduria","maple syrup urine disease"
kitul,"wine palm"
instrumentalist,musician
"sugar cane",sugarcane
contemptibility,baseness
wall-paperer,wallpaperer
"Prunus dulcis amara","bitter almond"
eyrie,aerie
squat,"knee bend"
squat,jack
"Caesalpinia bonduc",bonduc
acrolein,propenal
"valve rocker","rocker arm"
"acetyl radical",acetyl
bruin,"brown bear"
"Abies balsamea","balsam fir"
"Pipa pipa","Surinam toad"
coffee,"coffee bean"
coffee,chocolate
calkin,calk
directionality,directivity
"action replay",replay
"all get out",billyo
impersonation,caricature
impersonation,imposture
marchland,borderland
"Fritillaria micrantha","brown bells"
cosiness,coziness
beatniks,"beat generation"
excerption,excerpt
squad,team
squad,"police squad"
"roll in the hay",fuck
"death duty","inheritance tax"
